run_id,LNClassifier,RandomForestClassifier,XGBoostClassifier,baseline error
10,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(1), np.int64(5), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)",0.3888888888888889
11,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(1), np.int64(5), np.int64(6), np.int64(9), np.int64(12)], 0.9722222222222222)",0.4166666666666667
12,"([np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9714285714285714)","([np.int64(1), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9714285714285714)",0.42857142857142855
13,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(1), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)",0.4166666666666667
14,"([np.int64(0), np.int64(2), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(1), np.int64(4), np.int64(5), np.int64(6), np.int64(9), np.int64(11), np.int64(12)], 0.9722222222222222)",0.3611111111111111
15,"([np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9444444444444444)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(1), np.int64(4), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9444444444444444)",0.3611111111111111
16,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9444444444444444)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(1), np.int64(4), np.int64(5), np.int64(6), np.int64(9), np.int64(11), np.int64(12)], 0.9444444444444444)",0.3888888888888889
17,"([np.int64(0), np.int64(2), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.8333333333333334)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(1), np.int64(4), np.int64(5), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)",0.3333333333333333
18,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(1), np.int64(4), np.int64(6), np.int64(9), np.int64(12)], 0.9722222222222222)",0.5
19,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(1), np.int64(6), np.int64(9), np.int64(11), np.int64(12)], 1.0)",0.4166666666666667
20,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(1), np.int64(4), np.int64(6), np.int64(9), np.int64(11), np.int64(12)], 0.9722222222222222)",0.4166666666666667
21,"([np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9444444444444444)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(1), np.int64(4), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9166666666666666)",0.4444444444444444
22,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9444444444444444)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(1), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.8888888888888888)",0.4166666666666667
23,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9428571428571428)","([np.int64(1), np.int64(4), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9428571428571428)",0.34285714285714286
24,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9714285714285714)","([np.int64(1), np.int64(6), np.int64(8), np.int64(9), np.int64(11), np.int64(12)], 0.9714285714285714)",0.45714285714285713
